,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint-Augustin,75,CA,1561617424,88,45.63,-73.98,69.01,3.36
1,Ixtapa,90,MX,1561617427,74,20.71,-105.21,84.0,3.36
2,Port Hardy,40,CA,1561617736,93,50.7,-127.42,53.6,5.66
3,Albany,90,US,1561617275,100,42.65,-73.75,66.99,4.27
4,Port Alfred,0,ZA,1561617274,82,-33.59,26.89,57.99,3.0
5,Castro,90,CL,1561617271,93,-42.48,-73.76,44.6,11.41
6,Evensk,37,RU,1561617684,47,61.92,159.24,62.51,18.37
7,Bathsheba,40,BB,1561617295,74,13.22,-59.52,80.6,21.92
8,Mataura,17,NZ,1561617310,87,-46.19,168.86,51.01,5.01
9,Pochutla,48,MX,1561617352,85,15.74,-96.47,80.01,5.46
10,Kroya,34,ID,1561617774,37,-6.5,108.06,94.19,3.11
11,Arraial do Cabo,15,BR,1561617340,78,-22.97,-42.02,74.39,2.33
12,Victoria,75,BN,1561617134,70,5.28,115.24,89.6,5.82
13,Oktyabrskoye,0,RU,1561617774,44,56.73,85.44,79.0,13.42
14,Bluff,50,AU,1561617264,54,-23.58,149.07,72.41,15.9
15,Jamestown,0,AU,1561617248,49,-33.21,138.6,65.57,13.62
16,Chuy,2,UY,1561617036,80,-33.69,-53.46,43.25,9.15
17,Gull Lake,75,CA,1561617775,72,50.1,-108.48,60.8,11.41
18,Rikitea,0,PF,1561617028,82,-23.12,-134.97,74.21,12.19
19,Hermanus,22,ZA,1561617279,98,-34.42,19.24,55.0,1.99
20,Fairlie,1,US,1561617775,100,33.31,-95.96,73.99,7.49
21,Ancud,90,CL,1561617325,93,-41.87,-73.83,44.6,11.41
22,Thompson,75,CA,1561617276,100,55.74,-97.86,46.4,3.36
23,Vila Franca do Campo,20,PT,1561617268,72,37.72,-25.43,62.6,11.41
24,Saint Paul,1,US,1561617776,68,44.95,-93.1,72.0,4.41
25,Tomatlan,93,MX,1561617776,84,19.93,-105.25,80.69,8.16
26,Agadez,1,NE,1561617719,61,16.97,7.99,80.6,9.73
27,Grand Gaube,40,MU,1561617352,78,-20.01,57.66,77.0,17.22
28,Kapaa,40,US,1561617267,88,22.08,-159.32,78.8,8.05
29,Itarema,17,BR,1561617716,98,-2.92,-39.92,71.69,5.55
30,Saint-Georges,100,CA,1561617777,100,46.12,-70.67,63.0,7.25
31,Saskylakh,35,RU,1561617256,32,71.97,114.09,63.41,14.38
32,Kavieng,73,PG,1561617417,73,-2.57,150.8,85.01,11.9
33,Vaini,40,IN,1561617270,74,15.34,74.49,82.4,9.17
34,Punta Arenas,40,CL,1561617273,68,-53.16,-70.91,30.2,12.75
35,Ahuimanu,20,US,1561617778,74,21.44,-157.84,80.01,3.36
36,Airai,50,TL,1561617303,46,-8.93,125.41,81.41,4.81
37,New Norfolk,0,AU,1561617248,62,-42.78,147.06,53.6,6.93
38,Kathu,5,ZA,1561617374,89,-27.7,23.05,48.99,14.47
39,Haines Junction,100,CA,1561617392,77,60.75,-137.51,53.87,3.83
40,Inuvik,90,CA,1561617267,46,68.36,-133.71,46.4,4.7
41,Sabha,15,LY,1561617319,35,27.03,14.43,83.21,10.33
42,Naze,100,NG,1561617327,98,5.43,7.07,72.41,2.21
43,Bjornevatn,75,NO,1561617779,62,69.67,29.98,51.8,24.16
44,Tuktoyaktuk,90,CA,1561617286,80,69.44,-133.03,41.0,12.75
45,Majene,8,ID,1561617779,74,-3.54,118.97,82.67,15.9
46,Constitucion,5,MX,1561617364,52,23.99,-104.67,58.55,3.85
47,Znamenskoye,98,RU,1561617780,59,57.13,73.82,57.65,8.12
48,Carnarvon,0,ZA,1561617306,44,-30.97,22.13,38.93,10.22
49,Salym,10,RU,1561617755,45,60.06,71.48,60.35,9.26
50,Puqi,79,CN,1561617780,52,29.72,113.88,90.59,3.36
51,Atuona,5,PF,1561617270,75,-9.8,-139.03,80.69,17.67
52,Codrington,75,AU,1561617383,87,-28.95,153.24,64.4,5.82
53,Pangnirtung,1,CA,1561617321,72,66.15,-65.72,44.51,2.37
54,Torbay,20,CA,1561617313,81,47.66,-52.73,46.4,0.65
55,Barrow,96,AR,1561617283,42,-38.31,-60.23,47.93,14.25
56,Ushuaia,90,AR,1561617269,92,-54.81,-68.31,30.2,23.04
57,Saint-Philippe,75,CA,1561617272,93,45.36,-73.48,69.01,5.82
58,Gazli,31,UZ,1561617781,9,40.13,63.45,101.39,4.54
59,Camocim,50,BR,1561617762,96,-2.9,-40.84,69.71,4.7
60,Kloulklubed,90,PW,1561617696,94,7.04,134.26,77.0,12.75
61,Yining,53,CN,1561617782,49,29.04,114.56,92.75,2.57
62,Bubaque,100,GW,1561617415,80,11.28,-15.83,79.97,12.55
63,Lavrentiya,100,RU,1561617293,97,65.58,-170.99,46.67,5.06
64,Khatanga,22,RU,1561617260,28,71.98,102.47,60.35,4.81
65,Betlitsa,100,RU,1561617783,97,54.01,33.96,65.75,8.88
66,Hasaki,75,JP,1561617362,74,35.73,140.83,81.0,16.11
67,Kruisfontein,0,ZA,1561617288,78,-34.0,24.73,52.25,7.61
68,Almeirim,77,BR,1561617783,98,-1.53,-52.58,71.51,2.19
69,Hilo,90,US,1561617276,69,19.71,-155.08,78.8,3.36
70,Husavik,0,CA,1561617350,77,50.56,-96.99,60.01,5.82
71,Clyde River,90,CA,1561617346,100,70.47,-68.59,30.2,4.7
72,Laguna,40,BZ,1561617784,100,16.17,-88.94,77.0,1.19
73,Iqaluit,20,CA,1561617268,86,63.75,-68.52,41.0,2.24
74,Hualmay,24,PE,1561617294,87,-11.1,-77.61,62.51,10.96
75,Upernavik,12,GL,1561617297,90,72.79,-56.15,32.81,9.66
76,Rasra,29,IN,1561617784,25,25.86,83.86,107.69,13.94
77,Saint-Pierre,0,FR,1561617344,83,48.95,4.24,78.8,12.75
78,Hithadhoo,31,MV,1561617273,71,-0.6,73.08,83.75,6.11
79,Acapulco,20,MX,1561617743,83,16.86,-99.88,84.2,2.24
80,Cabedelo,75,BR,1561617330,100,-6.97,-34.84,71.6,5.82
81,Santiago del Estero,0,AR,1561617399,49,-27.8,-64.26,47.03,10.85
82,Ilulissat,1,GL,1561617325,80,69.22,-51.1,41.0,2.24
83,Sitka,72,US,1561617277,76,37.17,-99.65,73.99,11.99
84,Badulla,98,LK,1561617785,46,6.99,81.06,83.57,4.18
85,Busselton,41,AU,1561617263,67,-33.64,115.35,55.0,28.48
86,Pine Bluff,1,US,1561617786,83,34.23,-92.0,78.8,3.36
87,Saldanha,0,PT,1561617305,73,41.42,-6.55,63.95,1.92
88,Komsomolskiy,95,RU,1561617712,52,67.55,63.78,54.59,10.51
89,Werda,9,BW,1561617757,87,-25.27,23.28,53.51,12.95
90,Kuching,75,MY,1561617786,59,1.56,110.34,93.2,5.82
91,Yellowknife,75,CA,1561617034,81,62.45,-114.38,50.0,14.99
92,Blackwater,13,GB,1561617787,82,51.33,-0.78,60.01,12.75
93,Puerto Ayora,1,EC,1561617247,86,-0.74,-90.35,72.23,10.74
94,Fort Nelson,90,CA,1561617787,76,58.81,-122.69,51.8,8.05
95,Provideniya,90,RU,1561617259,87,64.42,-173.23,51.8,8.95
96,Xai-Xai,0,MZ,1561617788,85,-25.04,33.64,63.41,3.87
97,Faanui,0,PF,1561617269,71,-16.48,-151.75,80.69,4.09
98,Santiago de Cao,20,PE,1561617788,88,-7.96,-79.24,62.6,4.7
99,Guerrero Negro,97,MX,1561617788,86,27.97,-114.04,63.05,11.68
100,Luderitz,0,NA,1561617304,100,-26.65,15.16,42.8,3.36
101,Boffa,100,GN,1561617788,84,10.18,-14.04,79.43,7.61
102,High Level,20,CA,1561617789,59,58.52,-117.13,62.6,10.29
103,Cidreira,0,BR,1561617293,66,-30.17,-50.22,44.51,2.24
104,Araouane,0,ML,1561617789,22,18.9,-3.53,90.23,9.71
105,Shetpe,93,KZ,1561617789,16,44.14,52.16,85.91,4.74
106,Croy,0,CH,1561617789,73,46.69,6.48,81.0,2.91
107,Qaanaaq,0,GL,1561617247,75,77.48,-69.36,31.55,1.79
108,Mahebourg,40,MU,1561617316,78,-20.41,57.7,77.0,17.22
109,Ishigaki,75,JP,1561617790,88,24.34,124.16,82.4,16.11
110,Port Elizabeth,1,US,1561617027,88,39.31,-74.98,75.99,4.7
111,Cape Town,31,ZA,1561617269,100,-33.93,18.42,62.01,4.7
112,Norman Wells,40,CA,1561617296,66,65.28,-126.83,51.8,3.36
113,Cabo San Lucas,5,MX,1561617305,23,22.89,-109.91,86.0,6.93
114,Georgetown,20,GY,1561617275,100,6.8,-58.16,73.4,4.7
115,Severo-Kurilsk,100,RU,1561617367,96,50.68,156.12,40.19,15.1
116,Taksimo,100,RU,1561617691,39,56.36,114.84,69.53,10.16
117,Cotonou,100,BJ,1561617791,94,6.37,2.43,74.39,3.33
118,Quelimane,20,MZ,1561617791,88,-17.88,36.89,64.4,5.82
119,Rambha,85,IN,1561617792,42,19.52,85.09,99.05,5.03
120,Bredasdorp,6,ZA,1561617293,93,-34.53,20.04,45.0,1.12
121,Touros,100,BR,1561617309,75,-5.2,-35.46,80.51,20.49
122,Havelock,1,US,1561617688,88,34.88,-76.9,78.01,3.36
123,Jalu,0,LY,1561617792,52,29.03,21.55,83.21,11.52
124,Lidkoping,40,SE,1561617792,82,58.51,13.16,63.0,12.75
125,Lichtenburg,77,ZA,1561617793,90,-26.15,26.16,48.47,21.63
126,Veraval,0,FR,1561617752,88,49.65,0.71,68.0,14.99
127,Surt,0,LY,1561617793,83,31.21,16.59,76.19,3.71
128,Najran,0,SA,1561617377,14,17.54,44.22,95.0,5.82
129,Waipawa,0,NZ,1561617794,93,-39.94,176.59,39.0,0.92
130,Tasiilaq,99,GL,1561617314,87,65.61,-37.64,42.8,2.24
131,Sao Filipe,0,CV,1561617273,83,14.9,-24.5,74.21,29.06
132,Geraldton,75,CA,1561617430,72,49.72,-86.95,62.6,5.82
133,Esperance,40,AU,1561617285,51,-33.86,121.89,62.6,24.16
134,Tiksi,6,RU,1561617274,35,71.64,128.87,71.33,12.33
135,Mar del Plata,84,AR,1561617284,68,-46.43,-67.52,32.45,13.73
136,Udachnyy,40,RU,1561617795,32,66.42,112.4,82.4,6.71
137,Sioux Lookout,5,CA,1561617247,87,50.1,-91.92,60.8,5.82
138,Hobart,0,AU,1561617026,62,-42.88,147.33,53.6,6.93
139,Aichach,0,DE,1561617795,78,48.46,11.13,78.01,2.24
140,Alofi,0,NU,1561617271,78,-19.06,-169.92,73.4,10.29
141,Kodiak,1,US,1561617274,83,39.95,-94.76,75.99,5.82
142,Arlit,0,NE,1561617409,30,18.74,7.39,90.23,9.73
143,Touba,27,SN,1561617796,85,14.86,-15.88,74.39,10.47
144,Saint-Francois,0,FR,1561617362,100,46.42,3.91,68.0,3.71
145,Kargil,0,PK,1561617796,27,34.56,76.13,50.63,2.82
146,Tabou,97,CI,1561617667,94,4.42,-7.36,73.49,3.22
147,Muisne,79,EC,1561617416,85,0.61,-80.02,76.01,14.65
148,Mwene-Ditu,57,CD,1561617796,43,-7.01,23.45,69.89,4.61
149,Ajdabiya,0,LY,1561617797,79,30.75,20.22,76.55,12.3
150,Kamaishi,75,JP,1561617419,88,39.28,141.86,71.6,9.17
151,Xocali,74,AZ,1561617797,64,39.91,46.79,65.75,4.45
152,Port Blair,90,IN,1561617332,83,11.67,92.75,84.2,4.7
153,Moanda,98,CD,1561617797,76,-5.93,12.38,74.21,13.51
154,Caravelas,6,BR,1561617431,87,-17.73,-39.27,71.87,4.23
155,Baykit,81,RU,1561617410,30,61.68,96.39,81.23,5.79
156,Byron Bay,75,AU,1561617798,82,-28.65,153.62,68.0,5.82
157,Ossora,40,RU,1561617798,54,59.24,163.07,58.01,6.08
158,Paracuru,40,BR,1561617719,78,-3.41,-39.03,78.8,8.05
159,Santo Estevao,9,BR,1561617798,97,-12.43,-39.25,63.95,2.37
160,Hailun,100,CN,1561617799,82,47.46,126.97,70.25,4.88
161,Bambous Virieux,40,MU,1561617320,78,-20.34,57.76,77.0,17.22
162,Bethel,40,US,1561617349,72,60.79,-161.76,64.4,8.05
163,Kaitangata,3,NZ,1561617316,64,-46.28,169.85,51.01,4.0
164,Portobelo,20,PA,1561617799,94,9.55,-79.65,80.01,3.36
165,Delta,1,US,1561617705,22,38.74,-108.07,69.8,9.17
166,Mayo,20,CA,1561617392,25,63.59,-135.9,66.2,4.7
167,Nikolskoye,75,RU,1561617289,82,59.7,30.79,64.99,6.71
168,Bonga,43,ET,1561617800,85,7.26,36.25,63.41,1.32
169,Capitao Poco,100,BR,1561617800,97,-1.75,-47.06,70.97,3.18
170,Avarua,11,CK,1561617345,69,-21.21,-159.78,73.4,3.36
171,Ponta do Sol,69,BR,1561617327,63,-20.63,-46.0,61.97,3.06
172,Tigil,94,RU,1561617801,54,57.8,158.67,59.99,9.33
173,Honiara,75,SB,1561617801,66,-9.43,159.96,87.8,9.17
174,Przhevalskoye,100,RU,1561617801,98,55.51,31.85,65.57,5.84
175,Plettenberg Bay,0,ZA,1561617348,73,-34.05,23.37,53.15,6.22
176,Mount Gambier,33,AU,1561617316,59,-37.83,140.78,62.6,13.87
177,Losal,0,IN,1561617801,28,27.4,74.92,103.19,14.54
178,Marsa Matruh,0,EG,1561617341,78,31.35,27.25,78.8,5.82
179,Priargunsk,26,RU,1561617802,26,50.37,119.09,79.97,12.19
180,Rakitnoye,0,RU,1561617802,50,50.83,35.83,75.2,11.18
181,Tocopilla,100,CL,1561617802,79,-22.09,-70.2,57.83,2.66
182,Lompoc,75,US,1561617320,93,34.64,-120.46,60.01,4.7
183,Dikson,84,RU,1561617275,96,73.51,80.55,34.07,13.62
184,Longyearbyen,75,NO,1561617408,96,78.22,15.63,39.2,14.99
185,Paamiut,100,GL,1561617433,100,61.99,-49.67,40.19,6.96
186,Nuuk,96,GL,1561617340,93,64.17,-51.74,46.4,4.7
187,Karratha,67,AU,1561617311,24,-20.74,116.85,82.85,5.61
188,Jiangyou,100,CN,1561617803,67,31.78,104.73,75.11,3.09
189,Isangel,90,VU,1561617358,83,-19.55,169.27,77.0,12.55
190,Veinticinco de Mayo,0,AR,1561617360,94,-27.38,-54.75,38.57,1.83
191,Gimli,0,CA,1561617804,76,50.63,-96.99,60.01,5.66
192,Pontes e Lacerda,1,BR,1561617804,96,-15.23,-59.33,62.33,4.23
193,Vanimo,17,PG,1561617421,69,-2.67,141.3,83.93,8.95
194,Chokurdakh,0,RU,1561617281,33,70.62,147.9,66.11,15.5
195,Lebu,61,ET,1561617271,68,8.96,38.73,63.77,2.28
196,Coquimbo,0,CL,1561617351,87,-29.95,-71.34,48.99,3.36
197,Victoria Point,40,AU,1561617805,72,-27.58,153.3,68.0,6.93
198,Brae,75,GB,1561617311,87,60.4,-1.35,51.8,10.29
199,Belyy Yar,0,RU,1561617740,50,53.6,91.39,77.0,2.24
200,Duekoue,86,CI,1561617805,99,6.74,-7.35,70.97,2.04
201,Margate,0,AU,1561617337,62,-43.03,147.26,53.6,6.93
202,Ulladulla,20,AU,1561617707,63,-35.36,150.48,62.6,8.05
203,Sanmenxia,100,CN,1561617806,43,34.77,111.19,80.15,11.74
204,Juli,100,CN,1561617806,51,25.21,100.58,77.27,10.83
205,Ambilobe,44,MG,1561617316,69,-13.19,49.05,78.89,3.56
206,Ostrovnoy,100,RU,1561617423,74,68.05,39.51,54.23,12.41
207,Mariental,90,BR,1561617806,100,-25.72,-49.65,59.0,4.7
208,Ayolas,0,PY,1561617807,79,-27.39,-56.84,41.81,5.32
209,Harrisonville,1,US,1561617766,88,38.65,-94.35,75.2,3.36
210,Narsaq,100,GL,1561617288,93,60.91,-46.05,46.4,10.29
211,Klaksvik,90,FO,1561617310,100,62.23,-6.59,50.0,10.29
212,Porto Novo,40,BR,1561617807,93,-23.68,-45.44,64.4,2.24
213,Valentin Gomez Farias,5,MX,1561617808,52,24.05,-104.7,58.55,3.85
214,Yaan,100,NG,1561617338,96,7.38,8.57,72.77,5.68
215,Sorland,40,NO,1561617318,70,67.67,12.69,48.2,10.29
216,Talnakh,0,RU,1561617339,57,69.49,88.39,48.2,13.42
217,Flinders,20,AU,1561617266,63,-34.58,150.85,63.0,8.05
218,Robertsport,100,LR,1561617306,91,6.75,-11.37,76.37,7.18
219,Cherskiy,82,RU,1561617347,35,68.75,161.3,64.67,19.95
220,Deputatskiy,11,RU,1561617809,24,69.3,139.9,74.57,9.06
221,Pevek,66,RU,1561617260,74,69.7,170.27,36.59,26.6
222,Pitimbu,75,BR,1561617701,100,-7.47,-34.81,71.6,5.82
223,Nanakuli,75,US,1561617778,100,21.39,-158.15,80.01,8.55
224,Tessalit,0,ML,1561617323,45,20.2,1.01,81.95,10.98
225,Port-Gentil,40,GA,1561617313,94,-0.72,8.78,73.4,2.24
226,Yar-Sale,66,RU,1561617383,56,66.83,70.83,52.25,9.66
227,Belmonte,1,PT,1561617810,76,40.36,-7.35,62.01,1.81
228,Rampur Hat,94,IN,1561617810,35,24.18,87.79,102.29,9.64
229,La Ronge,40,CA,1561617811,87,55.1,-105.3,53.6,5.82
230,Butaritari,1,KI,1561617320,77,3.07,172.79,83.39,15.61
231,Boa Vista,40,BR,1561617395,78,2.82,-60.67,78.8,9.17
232,Bondo,91,CD,1561617811,95,3.81,23.69,71.33,1.45
233,Ouesso,100,CG,1561617811,92,1.61,16.05,70.61,3.15
234,Manavalakurichi,40,IN,1561617812,74,8.13,77.3,87.8,10.29
235,Westport,20,US,1561617616,83,41.14,-73.36,72.0,6.93
236,Rosetta,0,EG,1561617812,77,31.4,30.42,77.45,5.01
237,Fort Walton Beach,90,US,1561617812,65,30.41,-86.62,82.4,6.6
238,Nagato,75,JP,1561617813,83,34.35,131.14,80.6,5.82
239,Archidona,58,EC,1561617813,84,-0.91,-77.81,61.07,2.95
240,Hay River,90,CA,1561617382,100,60.82,-115.79,50.0,4.7
241,Pauini,56,BR,1561617813,95,-7.71,-67.0,71.87,1.74
242,Maniitsoq,59,GL,1561617309,82,65.42,-52.9,44.15,1.66
243,Ribeira Grande,75,PT,1561617306,68,38.52,-28.7,64.4,10.29
244,Bontang,35,ID,1561617349,71,0.12,117.47,88.25,3.2
245,Ternate,90,PH,1561617814,94,14.29,120.72,82.99,9.17
246,Yenagoa,100,NG,1561617814,97,4.92,6.26,73.13,2.8
247,Avera,1,US,1561617286,94,33.19,-82.53,72.0,4.7
248,Yangambi,81,CD,1561617814,95,0.77,24.47,71.69,1.19
249,Fortuna,40,US,1561617399,87,40.6,-124.16,55.99,4.7
250,Washougal,90,US,1561617815,82,45.58,-122.35,57.2,6.93
251,Solnechnogorsk,0,RU,1561617815,82,56.19,36.98,59.0,11.18
252,Sinaloa,5,MX,1561617815,36,32.55,-115.28,82.4,6.93
253,Awjilah,0,LY,1561617815,56,29.14,21.3,80.69,11.77
254,Namatanai,63,PG,1561617361,77,-3.66,152.44,82.13,11.72
255,East London,0,ZA,1561617025,48,-33.02,27.91,60.8,16.11
256,Santa Luzia,0,BR,1561617816,77,-19.77,-43.85,64.4,3.74
257,Markova,40,RU,1561617817,72,52.21,104.21,62.6,6.71
258,Champerico,89,MX,1561617436,96,16.38,-93.6,68.63,4.05
259,Rodrigues Alves,29,BR,1561617293,86,-7.74,-72.65,71.15,1.97
260,Sur,64,OM,1561617403,38,22.57,59.53,96.71,9.31
