,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
261,Tashla,40,RU,1561617817,48,53.71,49.75,62.6,2.24
262,Kondol,99,RU,1561617817,90,52.82,45.06,57.83,8.7
263,Quatre Cocos,40,MU,1561617670,78,-20.21,57.76,77.0,17.22
264,Kayerkan,0,RU,1561617709,57,69.35,87.76,48.2,13.42
265,Saint Anthony,1,US,1561617425,37,43.97,-111.68,66.2,4.7
266,Aklavik,90,CA,1561617255,51,68.22,-135.01,46.4,4.7
267,Abu Dhabi,0,AE,1561617224,35,24.47,54.37,100.4,12.75
268,Wangqing,0,CN,1561617818,26,43.31,129.76,88.25,6.08
269,Souillac,0,FR,1561617412,64,45.6,-0.6,80.01,4.7
270,Tura,73,RU,1561617264,37,64.27,100.22,81.05,5.19
271,Itaituba,87,BR,1561617768,95,-4.26,-55.99,70.97,2.08
272,Sheltozero,92,RU,1561617819,52,61.37,35.37,59.45,4.94
273,Lyuban,96,BY,1561617819,88,52.8,28.0,72.77,17.74
274,Parana,7,BR,1561617819,90,-7.52,-72.89,71.15,1.79
275,Portland,90,US,1561617355,87,43.66,-70.25,63.0,8.05
276,Hryshkivtsi,54,UA,1561617820,81,49.93,28.61,70.25,14.76
277,Harper,40,US,1561617820,88,30.3,-99.24,73.4,4.7
278,Jhanjharpur,90,IN,1561617820,49,26.21,86.23,97.25,6.87
279,Grindavik,90,IS,1561617808,100,63.84,-22.43,50.0,16.11
280,Samarai,65,PG,1561617310,83,-10.62,150.67,78.71,6.62
281,Vardo,1,US,1561617358,88,39.62,-77.74,73.99,3.36
282,Salalah,90,OM,1561617284,89,17.01,54.1,84.2,12.75
283,Peterhead,14,AU,1561617821,35,-34.83,138.5,71.6,18.34
284,Sunland Park,20,US,1561617821,26,31.8,-106.58,87.01,4.7
285,Khalilabad,0,IR,1561617822,10,35.25,58.29,91.4,9.17
286,Waynesboro,1,US,1561617822,88,35.32,-87.76,75.2,1.5
287,Hovd,75,NO,1561617822,93,63.83,10.7,52.0,18.34
288,Lodwar,0,KE,1561617697,45,3.12,35.6,83.75,10.36
289,Ust-Kuyga,51,RU,1561617822,23,70.0,135.55,80.51,4.68
290,Rozivka,0,UA,1561617823,47,47.51,38.15,76.01,4.97
291,Tshikapa,7,CD,1561617823,37,-6.42,20.79,70.61,2.71
292,Waingapu,10,ID,1561617823,63,-9.65,120.26,78.53,16.35
293,Xining,100,CN,1561617823,96,36.62,101.77,46.13,4.16
294,Tutoia,65,BR,1561617824,93,-2.76,-42.27,70.79,4.18
295,San Joaquin,100,PH,1561617392,89,10.59,122.14,79.25,6.8
296,Tongliao,94,CN,1561617402,15,43.61,122.27,99.59,3.11
297,Parakou,100,BJ,1561617824,86,9.34,2.63,74.03,5.37
298,Toppenish,40,US,1561617542,71,46.38,-120.31,61.0,3.36
299,Qasigiannguit,0,GL,1561617425,80,68.82,-51.19,41.0,2.24
300,Baft,0,IR,1561617824,15,29.23,56.61,75.47,4.18
301,Bandarbeyla,28,SO,1561617324,43,9.49,50.81,88.07,30.67
302,Vanavara,7,RU,1561617825,28,60.35,102.28,84.29,4.94
303,Shelburne,1,CA,1561617825,93,44.08,-80.2,64.99,4.65
304,Ahipara,30,NZ,1561617436,74,-35.17,173.16,57.11,21.09
305,Coihaique,40,CL,1561617397,100,-45.58,-72.07,33.8,5.82
306,Mogoytuy,88,RU,1561617826,81,51.28,114.93,65.03,10.09
307,Stanger,0,ZA,1561617826,82,-29.34,31.29,64.0,11.41
308,Camargo,24,MX,1561617826,40,27.69,-105.17,81.23,14.47
309,Praia,0,BR,1561617326,77,-20.25,-43.81,62.6,3.0
310,Cayenne,75,GF,1561617240,100,4.94,-52.33,75.2,2.77
311,Palora,44,EC,1561617827,91,-1.7,-77.97,63.59,2.86
312,Lalibela,100,ET,1561617827,37,12.04,39.05,70.97,3.91
313,Xapuri,50,BR,1561617827,82,-10.65,-68.5,71.69,2.44
314,Loknya,100,RU,1561617827,73,54.21,39.24,64.99,6.22
315,Clinton,1,US,1561617828,88,41.28,-72.53,71.01,4.68
316,Moerai,90,PF,1561617828,81,-22.43,-151.33,72.41,2.08
317,Egvekinot,100,RU,1561617306,90,66.32,-179.17,39.83,4.25
318,San Patricio,0,PY,1561617290,81,-26.98,-56.83,41.63,4.74
319,Kamiiso,75,JP,1561617829,88,41.82,140.65,68.0,8.05
320,San Quintin,93,PH,1561617350,69,17.54,120.52,86.27,10.54
321,Redmond,20,US,1561617829,72,47.67,-122.12,61.0,4.7
322,Sao Sebastiao,83,BR,1561617830,91,-3.15,-58.36,73.67,2.46
323,Zehdenick,40,DE,1561617830,67,52.98,13.33,68.0,11.41
324,Lyngseidet,75,NO,1561617830,81,69.58,20.21,44.6,19.46
325,Sabang,82,PH,1561617807,93,13.8,121.11,77.81,7.9
326,Lerwick,75,GB,1561617831,81,60.15,-1.15,51.8,9.17
327,Aswan,0,EG,1561617361,12,24.09,32.9,95.0,9.17
328,Necochea,50,AR,1561617702,51,-38.55,-58.74,48.99,11.99
329,Ozinki,97,RU,1561617415,48,51.2,49.73,68.81,4.47
330,French Harbor,20,HN,1561617831,78,16.35,-86.43,78.8,9.17
331,Nacogdoches,1,US,1561617687,100,31.6,-94.66,72.0,3.24
332,Flin Flon,28,CA,1561617756,95,54.77,-101.88,49.91,4.59
333,Hamilton,20,CA,1561617263,82,43.26,-79.87,70.0,3.36
334,Zaoyang,89,CN,1561617832,42,32.12,112.76,93.47,10.76
335,Manuk Mangkaw,100,PH,1561617832,76,4.8,119.85,84.65,14.18
336,Asyut,0,EG,1561617832,11,27.18,31.19,98.51,7.07
337,Tual,24,ID,1561617269,80,-5.67,132.75,78.17,21.16
338,Tuatapere,82,NZ,1561617323,87,-46.13,167.69,51.01,5.01
339,Shingu,75,JP,1561617391,94,33.72,135.99,77.0,23.04
340,Kiruna,42,SE,1561617666,57,67.86,20.23,50.0,21.92
341,Saint-Joseph,0,FR,1561617384,65,43.56,6.97,89.01,3.36
342,El Rosario,5,MX,1561617833,69,22.99,-105.86,86.0,3.36
343,Alice Springs,60,AU,1561617341,20,-23.7,133.88,69.8,3.36
344,Sola,100,TZ,1561617719,66,-3.17,33.8,68.45,3.8
345,Road Town,1,VG,1561617834,78,18.42,-64.62,80.6,6.93
346,Novyy Urgal,98,RU,1561617834,36,51.07,132.56,73.67,1.74
347,Yeppoon,75,AU,1561617741,56,-23.13,150.74,73.4,17.22
348,Ballina,0,IE,1561617834,81,54.11,-9.15,57.99,9.17
349,Nizhniy Tsasuchey,89,RU,1561617287,68,50.52,115.13,69.53,9.44
350,Muscle Shoals,1,US,1561617835,78,34.75,-87.67,75.99,1.05
351,Potiskum,100,NG,1561617835,79,11.71,11.08,75.65,12.46
352,Trogir,0,HR,1561617835,40,43.52,16.25,87.8,2.24
353,Amalapuram,40,IN,1561617835,56,16.58,82.0,95.0,11.41
354,Zhengjiatun,60,CN,1561617836,25,43.51,123.51,93.83,5.86
355,Hervey Bay,40,AU,1561617664,64,-25.3,152.85,73.0,19.46
356,Saint George,20,GR,1561617297,40,39.45,22.34,86.0,5.82
357,Dawei,100,MM,1561617836,75,14.07,98.19,83.75,15.5
358,Naica,24,MX,1561617836,40,27.86,-105.49,81.23,14.47
359,Hohhot,40,CN,1561617837,82,40.81,111.65,66.2,8.95
360,Lasa,20,CY,1561617433,74,34.92,32.53,80.6,11.41
361,Natchez,40,US,1561617837,88,31.56,-91.4,75.2,2.59
362,Manbij,0,SY,1561617837,38,36.53,37.96,93.2,9.17
363,Tiarei,20,PF,1561617746,74,-17.53,-149.33,78.8,4.7
364,Pointe Michel,43,DM,1561617838,77,15.25,-61.38,78.89,9.84
365,Swan River,10,CA,1561617412,93,52.11,-101.27,50.81,3.18
366,Neryungri,86,RU,1561617363,38,56.66,124.71,72.95,3.71
367,Basoko,93,CD,1561617838,96,1.23,23.61,71.87,1.68
368,Varhaug,75,NO,1561617838,71,58.61,5.65,55.99,10.29
369,Black River,20,JM,1561617839,78,18.03,-77.85,82.4,9.17
370,Moyale,60,ET,1561617839,70,3.52,39.05,70.61,12.73
371,Nanortalik,99,GL,1561617266,98,60.14,-45.24,36.41,8.9
372,Vila Velha,40,BR,1561617338,78,-3.71,-38.6,78.8,8.05
373,Kadarkut,0,HU,1561617839,78,46.24,17.62,78.8,4.7
374,Biltine,95,TD,1561617753,34,14.53,20.93,88.07,6.2
375,Muros,75,ES,1561617775,93,42.77,-9.06,64.0,2.24
376,Namibe,19,AO,1561617270,79,-15.19,12.15,63.95,8.21
377,Raudeberg,40,NO,1561617364,71,61.99,5.14,55.4,4.7
378,Mutterstadt,0,DE,1561617840,69,49.44,8.35,79.0,10.29
379,Galdar,20,ES,1561617840,73,28.15,-15.65,69.8,12.75
380,Seydi,51,NE,1561617840,61,13.34,7.75,81.23,14.5
381,Taoudenni,3,ML,1561617285,9,22.68,-3.98,89.69,6.55
382,Umm Lajj,0,SA,1561617274,59,25.02,37.27,86.63,11.07
383,Harrison,1,US,1561617841,83,39.26,-84.82,75.0,4.05
384,Juneau,75,US,1561617615,59,58.3,-134.42,64.4,3.36
385,Mathbaria,100,BD,1561617841,45,22.29,89.96,99.23,14.12
386,La Rioja,10,AR,1561617842,48,-29.41,-66.86,39.47,2.26
387,Vao,100,EE,1561617289,97,59.1,26.19,56.03,4.59
388,Luanda,75,AO,1561617842,93,-8.83,13.24,66.2,4.7
389,Nabisar,0,PK,1561617842,33,25.07,69.64,102.11,20.92
390,Pawai,77,IN,1561617842,31,24.27,80.17,101.75,12.62
391,Manggar,29,ID,1561617690,56,-2.88,108.27,89.15,8.86
392,Wattegama,43,LK,1561617687,53,7.35,80.68,87.71,10.33
393,Guane,1,CU,1561617843,69,22.2,-84.09,84.29,18.07
394,Daru,66,PG,1561617737,83,-9.07,143.21,78.53,11.56
395,Chengam,83,IN,1561617843,43,12.3,78.79,90.41,15.19
396,Bacolod,99,PH,1561617844,74,10.68,122.95,83.93,15.57
397,Meulaboh,11,ID,1561617379,73,4.14,96.13,83.39,7.18
398,Canutama,98,BR,1561617844,96,-6.53,-64.38,71.87,1.1
399,Sorong,92,ID,1561617287,67,-0.86,131.25,84.47,11.63
400,Kashan,0,IR,1561617844,14,33.99,51.44,75.47,10.29
401,Nishihara,75,JP,1561617387,65,35.74,139.53,84.99,12.75
402,Vestmanna,90,FO,1561617845,100,62.16,-7.17,50.0,9.17
403,Khorixas,20,NA,1561617339,59,-20.37,14.96,53.15,3.44
404,Washim,32,IN,1561617845,46,20.1,77.14,92.21,8.84
405,Jagtial,3,IN,1561617845,44,18.8,78.92,96.53,10.49
406,Trincomalee,70,LK,1561617357,41,8.58,81.23,95.45,11.25
407,Lar,0,IR,1561617846,25,27.66,54.32,100.4,3.18
408,Kangaatsiaq,0,GL,1561617334,81,68.31,-53.46,39.47,12.39
409,Tilichiki,100,RU,1561617735,90,60.47,166.1,48.11,8.34
410,Imbituba,75,BR,1561617689,76,-28.24,-48.67,57.2,5.82
411,Tautira,20,PF,1561617846,74,-17.73,-149.15,78.8,4.7
412,Alihe,100,CN,1561617847,76,50.57,123.73,62.69,9.73
413,Formosa do Rio Preto,39,BR,1561617847,56,-11.04,-45.19,65.03,4.52
414,Jiaohe,0,CN,1561617847,53,43.72,127.34,81.23,11.05
415,Bara,100,NG,1561617847,87,10.41,10.6,73.67,9.66
416,Curup,44,ID,1561617847,91,-3.47,102.53,75.11,3.06
417,Tarauaca,25,BR,1561617848,86,-8.16,-70.77,71.33,2.1
418,Kasongo-Lunda,6,CD,1561617848,62,-6.48,16.82,63.59,1.86
419,Khanu Woralaksaburi,100,TH,1561617848,70,16.06,99.86,82.13,4.94
420,Timiryazevskoye,0,RU,1561617848,44,56.49,84.88,79.0,13.42
421,Bartica,20,GY,1561617849,100,6.41,-58.62,73.4,4.7
422,Kurilsk,100,RU,1561617849,84,45.23,147.88,45.95,12.08
423,Harer,1,US,1561617849,57,42.19,-111.17,63.0,6.31
424,Tyrma,91,RU,1561617849,34,50.04,132.17,68.45,8.28
425,Marquette,1,US,1561617623,63,46.54,-87.4,69.01,8.05
426,Katangli,52,RU,1561617850,57,51.71,143.23,60.71,18.92
427,College,75,US,1561617681,43,64.86,-147.8,70.0,1.5
428,Griffith,0,AU,1561617850,59,-34.29,146.06,63.0,8.05
429,Kyren,93,RU,1561617294,74,51.68,102.13,48.11,6.6
430,Inhambane,14,MZ,1561617850,86,-23.87,35.38,64.67,2.33
431,Lahij,95,YE,1561617851,43,13.06,44.88,92.57,3.44
432,Naryan-Mar,97,RU,1561617321,52,67.67,53.09,58.55,7.2
433,Coahuayana,75,MX,1561617295,91,18.62,-100.35,73.49,2.55
434,Bongandanga,80,CD,1561617851,90,1.51,21.07,73.67,0.87
435,Banjar,82,ID,1561617851,66,-7.37,108.54,80.51,7.18
436,Braniewo,40,PL,1561617849,85,54.38,19.82,65.03,20.36
437,Manzanillo,100,MX,1561617665,76,19.05,-104.32,82.67,3.74
438,Hit,0,IQ,1561617852,9,33.64,42.83,106.61,12.06
439,Ocampo,9,MX,1561617852,82,27.32,-102.4,67.37,8.05
440,Baruun-Urt,98,MN,1561617334,17,46.68,113.28,79.61,15.7
441,Muchkapskiy,63,RU,1561617852,69,51.85,42.48,67.19,11.81
442,Chongwe,0,ZM,1561617853,80,-15.33,28.68,56.39,9.15
443,Mehamn,75,NO,1561617853,87,71.03,27.85,46.4,24.16
444,Zhangye,100,CN,1561617853,52,38.94,100.46,60.35,8.12
445,Yulara,2,AU,1561617434,15,-25.24,130.99,71.6,5.82
446,Lubartow,20,PL,1561617853,78,51.46,22.61,82.0,12.75
447,Corner Brook,75,CA,1561617854,87,48.95,-57.95,51.8,3.2
448,Onguday,0,RU,1561617854,30,50.75,86.14,75.47,2.08
449,Sisimiut,0,GL,1561617317,84,66.94,-53.67,36.77,30.04
450,Sanford,90,US,1561617854,93,43.44,-70.77,62.6,3.36
451,Hami,0,CN,1561617308,14,42.84,93.51,80.87,2.84
452,Mayumba,2,GA,1561617388,79,-3.44,10.65,72.95,8.1
453,Partizansk,48,RU,1561617855,61,43.13,133.13,72.95,7.96
454,Diphu,75,IN,1561617855,74,25.84,93.44,84.2,6.93
455,Salto,0,BR,1561617823,82,-23.2,-47.29,70.0,3.36
456,Campo Maior,81,BR,1561617855,76,-4.83,-42.16,71.33,2.13
457,Sosva,54,RU,1561617855,42,59.17,61.86,65.93,3.31
458,Awbari,35,LY,1561617856,24,26.59,12.77,86.09,9.69
459,Lardos,1,GR,1561617856,74,36.09,28.02,82.4,9.17
460,Cairns,98,AU,1561617856,60,-16.92,145.77,75.99,19.46
461,Alyangula,90,AU,1561617418,65,-13.85,136.42,77.0,8.05
462,Shieli,78,KZ,1561617856,20,44.18,66.74,94.91,11.83
463,High Rock,0,BS,1561617749,75,26.63,-78.28,82.85,8.16
464,West Bay,90,CA,1561617857,72,49.34,-123.21,63.0,9.17
465,Abong Mbang,95,CM,1561617857,97,3.98,13.18,67.37,2.24
466,Aksarka,87,RU,1561617857,47,66.56,67.8,53.69,4.68
467,Anloga,91,GH,1561617857,92,5.79,0.9,74.93,5.03
468,Mogadishu,40,SO,1561617291,65,2.04,45.34,82.4,16.11
469,Vera Cruz,40,BR,1561617858,69,-12.96,-38.61,78.8,9.17
470,Alamosa,1,US,1561617858,46,37.47,-105.87,55.4,10.29
471,Santa Fe,0,AR,1561617746,64,-31.62,-60.7,46.99,13.0
472,Pangody,92,RU,1561617858,49,65.85,74.49,53.87,15.48
473,Vershino-Darasunskiy,100,RU,1561617859,92,52.35,115.52,59.09,6.26
474,Ranong,75,TH,1561617859,94,9.96,98.62,82.4,10.29
475,Kahului,1,US,1561617325,100,20.89,-156.47,75.99,6.93
476,Sydney,40,AU,1561617660,68,-33.85,151.22,64.99,9.17
477,Moron,20,HT,1561617396,82,18.56,-74.26,79.25,5.28
478,Vestmannaeyjar,98,IS,1561617268,96,63.44,-20.27,52.61,13.0
479,Tanout,11,NE,1561617860,41,14.97,8.88,87.17,12.8
480,Montemor-o-Novo,75,PT,1561617860,100,38.65,-8.21,59.0,5.82
481,Azul,41,AR,1561617860,75,-36.78,-59.86,39.0,1.99
482,Morondava,0,MG,1561617379,59,-20.3,44.28,75.65,11.88
483,Gushikawa,20,JP,1561617429,74,26.35,127.87,86.0,16.11
484,Morehead,75,US,1561617416,88,38.18,-83.43,72.0,2.93
485,Calama,0,CL,1561617742,25,-22.46,-68.93,39.2,18.34
486,Kudahuvadhoo,62,MV,1561617354,71,2.67,72.89,83.03,1.79
487,Bulgan,73,MN,1561617861,69,48.81,103.53,56.75,10.38
488,Manokwari,100,ID,1561617750,84,-0.87,134.08,77.45,0.63
489,Shenjiamen,43,CN,1561617331,81,29.96,122.3,76.01,6.02
490,Atar,0,MR,1561617384,23,20.52,-13.05,86.45,12.35
491,Kununurra,69,AU,1561617381,10,-15.77,128.74,84.2,10.29
492,Matara,78,BI,1561617862,81,-3.48,29.48,56.57,2.33
493,Caudry,0,FR,1561617862,82,50.12,3.41,66.0,18.34
494,Susurluk,20,TR,1561617863,74,39.91,28.16,79.0,18.34
495,Natal,40,BR,1561617863,88,-5.81,-35.21,73.4,8.05
496,Lagoa,0,PT,1561617413,87,37.14,-8.45,64.0,4.7
497,Lata,0,IN,1561617296,49,30.78,78.62,51.35,9.64
498,Lazaro Cardenas,61,MX,1561617863,27,28.39,-105.62,78.17,12.97
499,Srednekolymsk,0,RU,1561617317,28,67.46,153.71,72.95,19.35
500,Lorengau,74,PG,1561617292,79,-2.02,147.27,83.21,8.08
501,Corinto,20,CO,1561617864,94,3.17,-76.26,68.0,5.82
502,Roald,40,NO,1561617338,87,62.58,6.12,52.0,6.93
503,Pisco,90,PE,1561617308,82,-13.71,-76.2,62.6,2.24
504,Vaitape,0,PF,1561617864,71,-16.52,-151.75,80.69,4.09
505,Nouadhibou,0,MR,1561617864,73,20.93,-17.03,69.8,23.04
506,Dingle,100,PH,1561617332,82,11.0,122.67,79.97,6.98
507,Kawalu,88,ID,1561617865,74,-7.38,108.21,75.11,6.64
508,Maceio,75,BR,1561617865,94,-9.67,-35.74,73.4,2.24
509,Caborca,80,MX,1561617865,56,30.58,-111.1,73.99,2.39
510,Ouadda,69,CF,1561617866,91,8.07,22.4,71.69,1.01
511,Serebryansk,0,KZ,1561617866,48,49.68,83.3,75.65,3.51
512,Constantine,0,DZ,1561617708,38,36.36,6.61,75.2,2.71
513,Sao Joao da Barra,1,BR,1561617266,83,-21.64,-41.05,67.91,3.51
514,Paramonga,48,PE,1561617867,89,-10.68,-77.82,60.53,8.95
515,Sinnamary,96,GF,1561617391,94,5.38,-52.96,76.37,13.04
516,Ketchikan,1,US,1561617289,72,55.34,-131.65,68.0,5.82
517,Krasnyy Chikoy,100,RU,1561617867,89,50.36,108.75,59.27,5.59
518,Pilar,0,AR,1561617867,61,-34.46,-58.91,51.01,11.41
519,Sibu,75,MY,1561617868,88,2.29,111.83,77.0,5.64
520,Tyukalinsk,85,RU,1561617868,68,55.87,72.2,57.29,11.36
521,Uva,100,RU,1561617868,63,56.98,52.19,62.01,1.99
522,Isla Mujeres,20,MX,1561617869,78,21.23,-86.73,82.4,3.36
523,Te Anau,0,NZ,1561617426,78,-45.41,167.72,46.31,5.64
524,Coronado,100,PA,1561617869,77,8.53,-79.9,82.99,8.25
